Species# guide;Family;Genus;species;Scientific Name;Link Scientific name to Description in Cajas Flora;Flora base link;flora key;Author;;flower color1;flower color2;Life form1/forma de vida;Life form2/forma de vida;3. Photographer;4. Copyright;5. Photo date;8. Photo local    ;Link Scientif Name to Names in Tropicos;tropicos id;tropicos link
9;Rubiaceae;Arcytophyllum;filiforme;Arcytophyllum filiforme;Arcytophyllum filiforme (Ruiz & Pav.) Standl.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Arcytophyllum+filiforme;9. Arcytophyllum filiforme (Ruiz & Pav.) Standl.;;white;;cushion;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27904079;http://www.tropicos.org/Name/27904079
10;Rubiaceae;Arcytophyllum;vernicosum;Arcytophyllum vernicosum;Arcytophyllum vernicosum Standl.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Arcytophyllum+vernicosum;10. Arcytophyllum vernicosum (Ruiz & Pav.) Standl.;;white;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27909983;http://www.tropicos.org/Name/27909983
85;Apiaceae ;Arracacia;elata;Arracacia elata;Arracacia elata Wolff;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Arracacia+elata;85. Arracacia elata Wolff;;green;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;1700589;http://www.tropicos.org/Name/1700589
86;Apiaceae;Azorella;pedunculata;Azorella pedunculata;Azorella pedunculata (Spreng.) Mathias & Constance;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Azorella+pedunculata;86. Azorella pedunculata (Spreng.) Mathias & Constance;;green;;cushion;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;1703586;http://www.tropicos.org/Name/1703586
26;Asteraceae ;Baccharis;caespitosa;Baccharis caespitosa;Baccharis caespitosa (Ruiz & Pav.) Pers.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Baccharis+caespitosa;26. Baccharis caespitosa (Lam.) Pers.;;white;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2722892;http://www.tropicos.org/Name/2722892
27;Asteraceae ;Baccharis;genistelloides;Baccharis genistelloides;Baccharis genistelloides (Lam.) Pers.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Baccharis+genistelloides;27. Baccharis genistelloides (Lam.) Pers.;;white;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2722899;http://www.tropicos.org/Name/2722899
89;Orobanchaceae;Bartsia;laticrenata;Bartsia laticrenata;Bartsia laticrenata Benth.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Bartsia+laticrenata;89. Bartsia laticrenata Benth.;;green;pink;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29200505;http://www.tropicos.org/Name/29200505
61;Orobanchaceae;Bartsia;pedicularioides;Bartsia pedicularioides;Bartsia pedicularioides Benth.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Bartsia+pedicularioides;61. Bartsia pedicularioides (Kunth) Benth.;;pink;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29200512;http://www.tropicos.org/Name/29200512
30;Berberidaceae;Berberis;lutea;Berberis lutea;Berberis lutea Ruiz & Pav.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Berberis+lutea;30. Berberis lutea Ruiz & Pav.;;yellow;orange;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;3500102;http://www.tropicos.org/Name/3500102
66;Alstroemeriaceae;Bomarea;glaucescens;Bomarea glaucescens;Bomarea glaucescens (Kunth) Baker;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Bomarea+glaucescens;66. Bomarea glaucescens (Kunth) Baker;;pink;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;1200216;http://www.tropicos.org/Name/1200216
77;Melastomataceae;Brachyotum;jamesonii;Brachyotum jamesonii;Brachyotum jamesonii Triana;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Brachyotum+jamesonii;77. Brachyotum jamesonii Triana;;purple;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;20300412;http://www.tropicos.org/Name/20300412
99;Poaceae o Gramineae;Calamagrostis;intermedia;Calamagrostis intermedia;Calamagrostis intermedia (J. Presl) Steud.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Calamagrostis+intermedia;99. Calamagrostis intermedia (J. Presl) Steud.;;brown;;grass;herb;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25512876;http://www.tropicos.org/Name/25512876
59;Portulacaceae;Calandrinia;acaulis;Calandrinia acaulis;Calandrinia acaulis Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Calandrinia+acaulis;59. Calandrinia acaulis Kunth;;pink;purple;rosette;;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26200245;http://www.tropicos.org/Name/26200245
36;Calceolariaceae;Calceolaria;rosmarinifolia;Calceolaria rosmarinifolia;Calceolaria rosmarinifolia Lam.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Calceolaria+rosmarinifolia;36. Calceolaria rosmarinifolia Lam.;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29200665;http://www.tropicos.org/Name/29200665
53;Brassicaceae;Cardamine;jamesonii;Cardamine jamesonii;Cardamine jamesonii Hook.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Cardamine+jamesonii;53. Cardamine jamesonii Hook.;;pink;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;4101583;http://www.tropicos.org/Name/4101583
